CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100),label
1,Male,19,15,39,3
2,Male,21,15,81,3
3,Female,20,16,6,5
4,Female,23,16,77,5
5,Female,31,17,40,5
6,Female,22,17,76,5
7,Female,35,18,6,2
8,Female,23,18,94,5
9,Male,64,19,3,1
10,Female,30,19,72,5
11,Male,67,19,14,1
12,Female,35,19,99,5
13,Female,58,20,15,2
14,Female,24,20,77,5
15,Male,37,20,13,1
16,Male,22,20,79,3
17,Female,35,21,35,5
18,Male,20,21,66,3
19,Male,52,23,29,1
20,Female,35,23,98,5
21,Male,35,24,35,3
22,Male,25,24,73,3
23,Female,46,25,5,2
24,Male,31,25,73,3
25,Female,54,28,14,2
26,Male,29,28,82,3
27,Female,45,28,32,2
28,Male,35,28,61,3
29,Female,40,29,31,2
30,Female,23,29,87,5
31,Male,60,30,4,1
32,Female,21,30,73,5
33,Male,53,33,4,1
34,Male,18,33,92,3
35,Female,49,33,14,2
36,Female,21,33,81,5
37,Female,42,34,17,2
38,Female,30,34,73,5
39,Female,36,37,26,2
40,Female,20,37,75,5
41,Female,65,38,35,2
42,Male,24,38,92,3
43,Male,48,39,36,1
44,Female,31,39,61,5
45,Female,49,39,28,2
46,Female,24,39,65,5
47,Female,50,40,55,2
48,Female,27,40,47,5
49,Female,29,40,42,5
50,Female,31,40,42,5
51,Female,49,42,52,2
52,Male,33,42,60,3
53,Female,31,43,54,5
54,Male,59,43,60,1
55,Female,50,43,45,2
56,Male,47,43,41,1
57,Female,51,44,50,2
58,Male,69,44,46,1
59,Female,27,46,51,5
60,Male,53,46,46,1
61,Male,70,46,56,1
62,Male,19,46,55,3
63,Female,67,47,52,2
64,Female,54,47,59,2
65,Male,63,48,51,1
66,Male,18,48,59,3
67,Female,43,48,50,2
68,Female,68,48,48,2
69,Male,19,48,59,3
70,Female,32,48,47,5
71,Male,70,49,55,1
72,Female,47,49,42,2
73,Female,60,50,49,2
74,Female,60,50,56,2
75,Male,59,54,47,1
76,Male,26,54,54,3
77,Female,45,54,53,2
78,Male,40,54,48,1
79,Female,23,54,52,5
80,Female,49,54,42,2
81,Male,57,54,51,1
82,Male,38,54,55,3
83,Male,67,54,41,1
84,Female,46,54,44,2
85,Female,21,54,57,5
86,Male,48,54,46,1
87,Female,55,57,58,2
88,Female,22,57,55,5
89,Female,34,58,60,5
90,Female,50,58,46,2
91,Female,68,59,55,2
92,Male,18,59,41,3
93,Male,48,60,49,1
94,Female,40,60,40,2
95,Female,32,60,42,5
96,Male,24,60,52,3
97,Female,47,60,47,2
98,Female,27,60,50,5
99,Male,48,61,42,1
100,Male,20,61,49,3
101,Female,23,62,41,5
102,Female,49,62,48,2
103,Male,67,62,59,1
104,Male,26,62,55,3
105,Male,49,62,56,1
106,Female,21,62,42,5
107,Female,66,63,50,2
108,Male,54,63,46,1
109,Male,68,63,43,1
110,Male,66,63,48,1
111,Male,65,63,52,1
112,Female,19,63,54,5
113,Female,38,64,42,6
114,Male,19,64,46,3
115,Female,18,65,48,5
116,Female,19,65,50,5
117,Female,63,65,43,2
118,Female,49,65,59,2
119,Female,51,67,43,2
120,Female,50,67,57,2
121,Male,27,67,56,3
122,Female,38,67,40,6
123,Female,40,69,58,0
124,Male,39,69,91,7
125,Female,23,70,29,6
126,Female,31,70,77,0
127,Male,43,71,35,4
128,Male,40,71,95,7
129,Male,59,71,11,1
130,Male,38,71,75,7
131,Male,47,71,9,4
132,Male,39,71,75,7
133,Female,25,72,34,6
134,Female,31,72,71,0
135,Male,20,73,5,4
136,Female,29,73,88,0
137,Female,44,73,7,6
138,Male,32,73,73,7
139,Male,19,74,10,4
140,Female,35,74,72,0
141,Female,57,75,5,6
142,Male,32,75,93,7
143,Female,28,76,40,6
144,Female,32,76,87,0
145,Male,25,77,12,4
146,Male,28,77,97,7
147,Male,48,77,36,4
148,Female,32,77,74,0
149,Female,34,78,22,6
150,Male,34,78,90,7
151,Male,43,78,17,4
152,Male,39,78,88,7
153,Female,44,78,20,6
154,Female,38,78,76,0
155,Female,47,78,16,6
156,Female,27,78,89,0
157,Male,37,78,1,4
158,Female,30,78,78,0
159,Male,34,78,1,4
160,Female,30,78,73,0
161,Female,56,79,35,6
162,Female,29,79,83,0
163,Male,19,81,5,4
164,Female,31,81,93,0
165,Male,50,85,26,4
166,Female,36,85,75,0
167,Male,42,86,20,4
168,Female,33,86,95,0
169,Female,36,87,27,6
170,Male,32,87,63,7
171,Male,40,87,13,4
172,Male,28,87,75,7
173,Male,36,87,10,4
174,Male,36,87,92,7
175,Female,52,88,13,6
176,Female,30,88,86,0
177,Male,58,88,15,4
178,Male,27,88,69,7
179,Male,59,93,14,4
180,Male,35,93,90,7
181,Female,37,97,32,6
182,Female,32,97,86,0
183,Male,46,98,15,4
184,Female,29,98,88,0
185,Female,41,99,39,6
186,Male,30,99,97,7
187,Female,54,101,24,6
188,Male,28,101,68,7
189,Female,41,103,17,6
190,Female,36,103,85,0
191,Female,34,103,23,6
192,Female,32,103,69,0
193,Male,33,113,8,4
194,Female,38,113,91,0
195,Female,47,120,16,6
196,Female,35,120,79,0
197,Female,45,126,28,6
198,Male,32,126,74,7
199,Male,32,137,18,4
200,Male,30,137,83,7
